City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Wuwei,CN,37.9281,102.6414,44.46,45,99,3.15,overcast clouds
316,Ikom,NG,5.9667,8.7063,82.22,72,65,4.25,broken clouds
317,Ginir,ET,7.1333,40.7,59.97,48,70,3.83,broken clouds
318,Nogir,RU,43.0816,44.6365,28.87,80,97,15.66,light snow
319,Richards Bay,ZA,-28.783,32.0377,73.02,89,11,2.17,few clouds
320,Cowra,AU,-33.8333,148.6833,63.95,63,20,7.09,few clouds
321,Chum Phae,TH,16.5443,102.0992,79.16,59,10,2.15,clear sky
322,Acapulco,MX,16.8634,-99.8901,84.0,55,0,11.65,clear sky
323,Maceio,BR,-9.6658,-35.7353,80.04,78,75,8.05,broken clouds
324,Barinitas,VE,8.7622,-70.4111,78.62,70,93,3.0,overcast clouds
325,Itarema,BR,-2.9248,-39.9167,79.68,80,100,9.42,moderate rain
326,Sorland,NO,67.667,12.6934,42.33,85,100,19.3,overcast clouds
327,Geraldton,AU,-28.7667,114.6,64.81,59,5,0.0,clear sky
328,Sao Gabriel,BR,-30.3364,-54.32,70.3,89,85,7.23,light rain
329,Gizo,SB,-8.103,156.8419,82.92,74,55,5.68,broken clouds
330,Choix,MX,26.7092,-108.3219,81.32,7,88,10.02,overcast clouds
331,Zachepylivka,UA,49.1939,35.2394,18.01,88,100,15.41,overcast clouds
332,Mount Isa,AU,-20.7333,139.5,80.37,28,27,4.61,scattered clouds
333,Sabang,ID,5.8933,95.3214,82.17,73,95,7.74,moderate rain
334,Vorobyevka,RU,50.6451,40.9245,17.62,92,100,16.51,light snow
335,Turochak,RU,52.2576,87.1224,17.04,96,100,2.95,light snow
336,Teya,RU,60.3778,92.6267,-25.92,100,98,2.42,overcast clouds
337,Hambantota,LK,6.1241,81.1185,75.54,100,20,3.44,few clouds
338,Kiama,AU,-34.6833,150.8667,69.01,75,53,8.28,broken clouds
339,Hajnowka,PL,52.7433,23.5812,19.02,64,0,1.01,clear sky
340,Nabire,ID,-3.3667,135.4833,76.12,92,100,0.96,overcast clouds
341,Acheng,CN,45.5454,126.977,23.59,67,3,10.8,clear sky
342,Coquimbo,CL,-29.9533,-71.3436,65.93,72,20,12.66,few clouds
343,Palmer,US,42.1584,-72.3287,46.2,48,96,1.32,overcast clouds
